Date,Currency,Low,High,Open,Close,Volume
2023-02-27 14:00:00,BTC-USD,23412.63,23549.75,23490.01,23423.11,455.68825247
2023-02-27 13:00:00,BTC-USD,23448.54,23579.93,23480.69,23489.52,455.28082658
2023-02-27 12:00:00,BTC-USD,23363.25,23553.74,23382.45,23481.48,554.14216807
2023-02-27 11:00:00,BTC-USD,23296.44,23398.08,23320.07,23383.74,331.62861798
2023-02-27 10:00:00,BTC-USD,23109.06,23329.99,23277.13,23322.23,959.34144123
2023-02-27 09:00:00,BTC-USD,23220.32,23361.19,23289.53,23277.17,613.23376979
2023-02-27 08:00:00,BTC-USD,23159.06,23371.27,23335.27,23288.36,836.87658629
2023-02-27 07:00:00,BTC-USD,23270.36,23424.04,23394.58,23336.14,551.98938372
2023-02-27 06:00:00,BTC-USD,23165,23616.47,23559.37,23394.7,1416.92753368
2023-02-27 05:00:00,BTC-USD,23469.08,23895.51,23803,23560.2,1366.86402897
2023-02-27 04:00:00,BTC-USD,23676,23856.73,23706.86,23804.24,1045.33467856
2023-02-27 03:00:00,BTC-USD,23398.78,23799.98,23404,23703.49,1129.64343284
2023-02-27 02:00:00,BTC-USD,23380.89,23442.96,23431,23403.95,135.92629038
2023-02-27 01:00:00,BTC-USD,23372.32,23446.93,23380.35,23430.45,117.67538198
2023-02-27 00:00:00,BTC-USD,23351.15,23420.17,23388.67,23379.51,114.31817788
2023-02-26 23:00:00,BTC-USD,23336.97,23438.67,23360.56,23389.66,184.64435631
2023-02-26 22:00:00,BTC-USD,23345.5,23455.91,23424.06,23360.21,195.37330125
2023-02-26 21:00:00,BTC-USD,23402.63,23457.82,23406.44,23423.69,133.03336963
2023-02-26 20:00:00,BTC-USD,23363.65,23437.8,23391.85,23406.67,215.59810109
2023-02-26 19:00:00,BTC-USD,23350,23508.77,23493.5,23392.28,330.1866718
2023-02-26 18:00:00,BTC-USD,23467.35,23559.21,23554.09,23493.5,256.83400673
2023-02-26 17:00:00,BTC-USD,23541.35,23646.99,23561.19,23554.08,381.90382146
2023-02-26 16:00:00,BTC-USD,23525.48,23647.85,23554.52,23561.3,230.53837529
2023-02-26 15:00:00,BTC-USD,23434.94,23564.8,23493.63,23554.52,212.6113609
2023-02-26 14:00:00,BTC-USD,23452.01,23565.97,23556.83,23492.51,328.76685277
2023-02-26 13:00:00,BTC-USD,23455.22,23640.54,23477.35,23556.83,406.29850461
2023-02-26 12:00:00,BTC-USD,23326.9,23595.56,23562.45,23478.42,537.14477945
2023-02-26 11:00:00,BTC-USD,23555.55,23657.94,23642.07,23563.34,408.65406058
2023-02-26 10:00:00,BTC-USD,23464.55,23689.77,23505.57,23643.97,544.23488332
2023-02-26 09:00:00,BTC-USD,23366.36,23546.68,23488.2,23504.83,515.32050256
2023-02-26 08:00:00,BTC-USD,23223.65,23535.48,23242.29,23488.07,814.85756372
2023-02-26 07:00:00,BTC-USD,23139.98,23245.58,23187.18,23242.34,132.13176621
2023-02-26 06:00:00,BTC-USD,23170.25,23261.19,23250.2,23187.18,211.76459652
2023-02-26 05:00:00,BTC-USD,23180.24,23251.91,23196.84,23248.95,166.93441735
2023-02-26 04:00:00,BTC-USD,23183.28,23327.19,23215.34,23196.7,250.3088421
2023-02-26 03:00:00,BTC-USD,23142.85,23220.74,23165.33,23215.33,115.93442998
2023-02-26 02:00:00,BTC-USD,23131.55,23283.51,23255.78,23166.26,170.79550361
2023-02-26 01:00:00,BTC-USD,23203.68,23260.33,23238.69,23256.36,82.27109256
2023-02-26 00:00:00,BTC-USD,23213.57,23283.84,23282.83,23239.86,97.1506795
