Date,Currency,Low,High,Open,Close,Volume
2023-03-05 14:00:00,BTC-USD,22365.08,22469.99,22431.99,22449.17,286.4217143
2023-03-05 13:00:00,BTC-USD,22362.58,22458.98,22434.33,22432.69,384.26768627
2023-03-05 12:00:00,BTC-USD,22381.7,22486.68,22483.99,22434.34,259.40820643
2023-03-05 11:00:00,BTC-USD,22330,22554.82,22408.77,22483.35,563.63991411
2023-03-05 10:00:00,BTC-USD,22397.33,22427.02,22405.26,22410.09,163.02914031
2023-03-05 09:00:00,BTC-USD,22377.47,22452.29,22432.12,22405.26,246.24699273
2023-03-05 08:00:00,BTC-USD,22423.77,22451,22428.68,22432.12,115.18119798
2023-03-05 07:00:00,BTC-USD,22421.02,22457.52,22444.16,22429.21,117.78451616
2023-03-05 06:00:00,BTC-USD,22424.49,22462.45,22437.95,22442.97,149.90867559
2023-03-05 05:00:00,BTC-USD,22423.11,22470.36,22433.51,22437.68,134.39320722
2023-03-05 04:00:00,BTC-USD,22419.84,22482.4,22467.79,22433.52,218.15619452
2023-03-05 03:00:00,BTC-USD,22420.63,22496.15,22421.62,22468.38,251.91746167
2023-03-05 02:00:00,BTC-USD,22391.81,22444.54,22393.2,22421.64,150.48224941
2023-03-05 01:00:00,BTC-USD,22384.78,22425.8,22413.74,22391.61,110.54219722
2023-03-05 00:00:00,BTC-USD,22365.94,22449.22,22370.8,22415.04,158.47469473
2023-03-04 23:00:00,BTC-USD,22318.55,22400.77,22346.3,22371.59,147.65883614
2023-03-04 22:00:00,BTC-USD,22329.74,22401.81,22380.19,22346.77,130.27772211
2023-03-04 21:00:00,BTC-USD,22370.06,22421.67,22418.78,22379.99,153.44598907
2023-03-04 20:00:00,BTC-USD,22404.05,22428.32,22420.5,22418.78,106.93318781
2023-03-04 19:00:00,BTC-USD,22395.71,22448.17,22443.39,22421.81,125.52540761
2023-03-04 18:00:00,BTC-USD,22381.22,22471.05,22389.75,22443.56,181.97337014
2023-03-04 17:00:00,BTC-USD,22360.77,22442.66,22363.83,22389.75,216.23514863
2023-03-04 16:00:00,BTC-USD,22195.13,22612.56,22593.77,22361.68,485.94927328
2023-03-04 15:00:00,BTC-USD,22349.66,22654.64,22379.83,22594.53,581.83429462
2023-03-04 14:00:00,BTC-USD,22315.37,22385.83,22349.74,22381.48,138.69911207
2023-03-04 13:00:00,BTC-USD,22291.76,22355.54,22308.08,22350.95,102.35537615
2023-03-04 12:00:00,BTC-USD,22207.77,22356.28,22220.21,22305.63,50.69494837
2023-03-04 11:00:00,BTC-USD,22150.71,22290,22290,22220.21,33.94499834
2023-03-04 06:00:00,BTC-USD,22293.16,22345.17,22316.86,22330.27,31.41319436
2023-03-04 05:00:00,BTC-USD,22300.8,22354.81,22344.05,22316.86,205.56822996
2023-03-04 04:00:00,BTC-USD,22334.73,22370.85,22358.02,22344.04,115.6860133
2023-03-04 03:00:00,BTC-USD,22357.58,22389.18,22389.18,22358.02,84.04636487
2023-03-04 02:00:00,BTC-USD,22342.81,22399.98,22351.49,22389.65,76.88035154
2023-03-04 01:00:00,BTC-USD,22334.38,22359.3,22335.39,22352.53,49.18326555
2023-03-04 00:00:00,BTC-USD,22326.67,22361.19,22352.48,22335.4,71.47570575
2023-03-03 23:00:00,BTC-USD,22342.15,22377.5,22344.2,22352.49,72.81778434
2023-03-03 22:00:00,BTC-USD,22334.96,22364.54,22360.99,22344.21,95.85576694
2023-03-03 21:00:00,BTC-USD,22354.34,22396.7,22367.54,22360.99,161.66148522
2023-03-03 20:00:00,BTC-USD,22316.84,22409.82,22329.56,22367.55,157.4165073
2023-03-03 19:00:00,BTC-USD,22273.2,22348.21,22347.95,22330.19,134.05335843
2023-03-03 18:00:00,BTC-USD,22329.94,22371.13,22349.98,22348.08,126.53036022
2023-03-03 17:00:00,BTC-USD,22326.91,22356.42,22344.73,22350.25,107.10005078
2023-03-03 16:00:00,BTC-USD,22337.49,22362.72,22346.03,22344.74,110.47387411
2023-03-03 15:00:00,BTC-USD,22341.31,22395.51,22370.53,22346.03,238.28870317
2023-03-03 14:00:00,BTC-USD,22331.8,22393.66,22358.18,22372.1,240.76864077
2023-03-03 13:00:00,BTC-USD,22316.52,22378.5,22323.27,22358.18,350.48862126
2023-03-03 12:00:00,BTC-USD,22225.21,22341.48,22241.04,22323.28,245.02343941
2023-03-03 11:00:00,BTC-USD,22141.57,22316.3,22305.99,22240.96,774.9913204
