Date,Currency,Price,Volume
2025-01-09 19:00:00,BTC-USD,94701.18,12634.03407823
2025-01-08 19:00:00,BTC-USD,92547.44,9712.37853215
2025-01-07 19:00:00,BTC-USD,95036.63,14182.29739458
2025-01-06 19:00:00,BTC-USD,96941.98,16587.2869223
2025-01-05 19:00:00,BTC-USD,102279.41,15173.44718169
2025-01-04 19:00:00,BTC-USD,98345.33,2377.92175899
2025-01-03 19:00:00,BTC-USD,98209.85,2742.08960614
2025-01-02 19:00:00,BTC-USD,98136.51,9021.88538159
2025-01-01 19:00:00,BTC-USD,96903.19,10912.47383962
2024-12-31 19:00:00,BTC-USD,94383.59,6871.73848196
2025-01-09 19:00:00,ETH-USD,3266.53,115536.39025356
2025-01-08 19:00:00,ETH-USD,3218.81,128267.34648667
2025-01-07 19:00:00,ETH-USD,3326.29,130070.303195
2025-01-06 19:00:00,ETH-USD,3380.29,149342.34303939
2025-01-05 19:00:00,ETH-USD,3688.74,106103.922525
2025-01-04 19:00:00,ETH-USD,3635.46,36837.72295697
2025-01-03 19:00:00,ETH-USD,3656.4,49524.86729196
2025-01-02 19:00:00,ETH-USD,3607.68,102329.32252706
2025-01-01 19:00:00,ETH-USD,3452.39,86207.50853825
2024-12-31 19:00:00,ETH-USD,3353.32,113635.9777943
2025-01-09 19:00:00,XRP-USD,2.3413,110712288.665731
2025-01-08 19:00:00,XRP-USD,2.2726,146470036.808497
2025-01-07 19:00:00,XRP-USD,2.3727,185872492.559284
2025-01-06 19:00:00,XRP-USD,2.2709,180671421.727972
2025-01-05 19:00:00,XRP-USD,2.4212,87175503.569098
2025-01-04 19:00:00,XRP-USD,2.399,78271082.155334
2025-01-03 19:00:00,XRP-USD,2.4199,100053315.290882
2025-01-02 19:00:00,XRP-USD,2.4538,131928479.536587
2025-01-01 19:00:00,XRP-USD,2.4008,189711379.300328
2024-12-31 19:00:00,XRP-USD,2.3285,210671670.273649
2025-01-09 19:00:00,SOL-USD,187.63,875745.66070076
2025-01-08 19:00:00,SOL-USD,184.96,937653.10582914
2025-01-07 19:00:00,SOL-USD,197.42,1140993.85903562
2025-01-06 19:00:00,SOL-USD,202.13,795105.92886797
2025-01-05 19:00:00,SOL-USD,218.34,674167.12450008
2025-01-04 19:00:00,SOL-USD,213.35,416436.62791125
2025-01-03 19:00:00,SOL-USD,216.64,391915.37090351
2025-01-02 19:00:00,SOL-USD,217.93,766875.301032
2025-01-01 19:00:00,SOL-USD,208.09,964401.22636598
2024-12-31 19:00:00,SOL-USD,193.84,710641.6877591
2025-01-09 19:00:00,DOGE-USD,0.33381,393278173.9
2025-01-08 19:00:00,DOGE-USD,0.32104,482802300.3
2025-01-07 19:00:00,DOGE-USD,0.34218,548354891.1
2025-01-06 19:00:00,DOGE-USD,0.34798,551659093.3
2025-01-05 19:00:00,DOGE-USD,0.38797,254313674.8
2025-01-04 19:00:00,DOGE-USD,0.38223,169400684.8
2025-01-03 19:00:00,DOGE-USD,0.39478,364293061.2
2025-01-02 19:00:00,DOGE-USD,0.37969,451823532.2
2025-01-01 19:00:00,DOGE-USD,0.33858,327396382.5
2024-12-31 19:00:00,DOGE-USD,0.3244,209115808.7
2025-01-09 19:00:00,ADA-USD,0.9303,50964522.27189341
2025-01-08 19:00:00,ADA-USD,0.9042,77709605.54939029
2025-01-07 19:00:00,ADA-USD,0.9467,84503003.95917894
2025-01-06 19:00:00,ADA-USD,0.9891,96298858.94923481
2025-01-05 19:00:00,ADA-USD,1.094,59419268.99976215
2025-01-04 19:00:00,ADA-USD,1.0909,50827686.40657881
2025-01-03 19:00:00,ADA-USD,1.0703,42189474.4828428
2025-01-02 19:00:00,ADA-USD,1.0889,98367468.7975227
2025-01-01 19:00:00,ADA-USD,0.9601,42715053.53752713
2024-12-31 19:00:00,ADA-USD,0.9206,49559592.50555759
2025-01-09 19:00:00,LINK-USD,20.232,2048104.87
2025-01-08 19:00:00,LINK-USD,19.645,2206846
2025-01-07 19:00:00,LINK-USD,20.441,2782162.35
2025-01-06 19:00:00,LINK-USD,21.385,2148062.02
2025-01-05 19:00:00,LINK-USD,23.821,2213635.05
2025-01-04 19:00:00,LINK-USD,23.573,1078605.75
2025-01-03 19:00:00,LINK-USD,23.594,1262610.28
2025-01-02 19:00:00,LINK-USD,23.507,2059439.92
2025-01-01 19:00:00,LINK-USD,22.044,2154179.39
2024-12-31 19:00:00,LINK-USD,21.692,1822381.06
2025-01-09 19:00:00,XLM-USD,0.414288,171001107.92208087
2025-01-08 19:00:00,XLM-USD,0.391367,173586364.94254172
2025-01-07 19:00:00,XLM-USD,0.425252,299825913.1226112
2025-01-06 19:00:00,XLM-USD,0.417763,173522934.01656577
2025-01-05 19:00:00,XLM-USD,0.446855,132914776.1551076
2025-01-04 19:00:00,XLM-USD,0.440633,95348328.36826564
2025-01-03 19:00:00,XLM-USD,0.450405,187155608.24995038
2025-01-02 19:00:00,XLM-USD,0.44802,230658215.9194988
2025-01-01 19:00:00,XLM-USD,0.431594,214973036.78169554
2024-12-31 19:00:00,XLM-USD,0.424759,297428738.4136911
2025-01-09 19:00:00,LTC-USD,103.93,140887.94538913
2025-01-08 19:00:00,LTC-USD,102.25,197073.18676992
2025-01-07 19:00:00,LTC-USD,101.4,213146.4813923
2025-01-06 19:00:00,LTC-USD,102.72,250213.05412548
2025-01-05 19:00:00,LTC-USD,114.05,220528.98584686
2025-01-04 19:00:00,LTC-USD,115.66,151608.47530457
2025-01-03 19:00:00,LTC-USD,111.21,122701.95327373
2025-01-02 19:00:00,LTC-USD,112.68,218130.45472452
2025-01-01 19:00:00,LTC-USD,105.01,185797.9210437
2024-12-31 19:00:00,LTC-USD,105.02,189578.93199247
2025-01-09 19:00:00,SUI-USD,5.1208,36208068
2025-01-08 19:00:00,SUI-USD,4.7504,25386431.1
2025-01-07 19:00:00,SUI-USD,4.8966,31119679.6
2025-01-06 19:00:00,SUI-USD,4.7852,21386346.7
2025-01-05 19:00:00,SUI-USD,5.092,20367910.4
2025-01-04 19:00:00,SUI-USD,5.2428,12166458
2025-01-03 19:00:00,SUI-USD,5.2904,30197819.3
2025-01-02 19:00:00,SUI-USD,4.983,24705425.7
2025-01-01 19:00:00,SUI-USD,4.3479,13089598.2
2024-12-31 19:00:00,SUI-USD,4.2743,11489110.5
2025-01-09 19:00:00,AVAX-USD,36.66,565025.94061821
2025-01-08 19:00:00,AVAX-USD,36.2,694906.14367367
2025-01-07 19:00:00,AVAX-USD,37.38,879486.50476133
2025-01-06 19:00:00,AVAX-USD,39.18,895649.80057958
2025-01-05 19:00:00,AVAX-USD,44.07,1051025.44333216
2025-01-04 19:00:00,AVAX-USD,43.09,308765.16026072
2025-01-03 19:00:00,AVAX-USD,42.65,405593.37487913
2025-01-02 19:00:00,AVAX-USD,41.92,782619.51818428
2025-01-01 19:00:00,AVAX-USD,39.27,625585.95375726
2024-12-31 19:00:00,AVAX-USD,37.7,334810.70881407
2025-01-09 19:00:00,SHIB-USD,2.156e-05,942313993411
2025-01-08 19:00:00,SHIB-USD,2.105e-05,1213616287680
2025-01-07 19:00:00,SHIB-USD,2.128e-05,1207941418098
2025-01-06 19:00:00,SHIB-USD,2.178e-05,1363683750075
2025-01-05 19:00:00,SHIB-USD,2.406e-05,746306322864
2025-01-04 19:00:00,SHIB-USD,2.395e-05,634604576845
2025-01-03 19:00:00,SHIB-USD,2.433e-05,911026028309
2025-01-02 19:00:00,SHIB-USD,2.441e-05,1206835820793
2025-01-01 19:00:00,SHIB-USD,2.289e-05,1027710127484
2024-12-31 19:00:00,SHIB-USD,2.164e-05,802953608806
2025-01-09 19:00:00,HBAR-USD,0.28164,288436062.4
2025-01-08 19:00:00,HBAR-USD,0.26879,317943433.3
2025-01-07 19:00:00,HBAR-USD,0.28492,380863574.9
2025-01-06 19:00:00,HBAR-USD,0.28916,435950317.2
2025-01-05 19:00:00,HBAR-USD,0.30828,259447791
2025-01-04 19:00:00,HBAR-USD,0.30135,171075598.3
2025-01-03 19:00:00,HBAR-USD,0.30588,229225418.3
2025-01-02 19:00:00,HBAR-USD,0.3136,425826921.2
2025-01-01 19:00:00,HBAR-USD,0.2919,255946651.6
2024-12-31 19:00:00,HBAR-USD,0.29424,354798066.2
2025-01-09 19:00:00,DOT-USD,6.731,1215620.56770438
2025-01-08 19:00:00,DOT-USD,6.558,1718135.32219575
2025-01-07 19:00:00,DOT-USD,6.758,2477954.1312076
2025-01-06 19:00:00,DOT-USD,7.01,2039736.18684855
2025-01-05 19:00:00,DOT-USD,7.766,2014003.62880121
2025-01-04 19:00:00,DOT-USD,7.677,695782.54292063
2025-01-03 19:00:00,DOT-USD,7.675,1016169.27697262
2025-01-02 19:00:00,DOT-USD,7.748,2328752.25326438
2025-01-01 19:00:00,DOT-USD,7.169,1397072.24064484
2024-12-31 19:00:00,DOT-USD,7.037,1092293.14780781
2025-01-09 19:00:00,BCH-USD,450.27,15432.20159648
2025-01-08 19:00:00,BCH-USD,421.9,13034.49103397
2025-01-07 19:00:00,BCH-USD,433.85,20633.43333937
2025-01-06 19:00:00,BCH-USD,436.98,18152.81659577
2025-01-05 19:00:00,BCH-USD,483.13,12786.78499265
2025-01-04 19:00:00,BCH-USD,470.88,8470.261012
2025-01-03 19:00:00,BCH-USD,478.87,11558.54725733
2025-01-02 19:00:00,BCH-USD,473.68,11844.88804473
2025-01-01 19:00:00,BCH-USD,461.43,11208.68715263
2024-12-31 19:00:00,BCH-USD,449.55,9576.52013314
2025-01-09 19:00:00,UNI-USD,13.941,906112.321315
2025-01-08 19:00:00,UNI-USD,12.886,556623.275007
2025-01-07 19:00:00,UNI-USD,13.115,768678.973918
2025-01-06 19:00:00,UNI-USD,13.524,628557.153595
2025-01-05 19:00:00,UNI-USD,15.078,1070385.678918
2025-01-04 19:00:00,UNI-USD,15.161,257442.598782
2025-01-03 19:00:00,UNI-USD,15.278,547947.007112
2025-01-02 19:00:00,UNI-USD,15.202,494132.79881
2025-01-01 19:00:00,UNI-USD,14.369,717067.811832
2024-12-31 19:00:00,UNI-USD,13.607,481421.725491
2025-01-09 19:00:00,DAI-USD,0.9999,1460233.89025
2025-01-08 19:00:00,DAI-USD,0.9999,839019.07647
2025-01-07 19:00:00,DAI-USD,0.9999,843945.23414
2025-01-06 19:00:00,DAI-USD,1,2105494.13269
2025-01-05 19:00:00,DAI-USD,1,1037221.88923
2025-01-04 19:00:00,DAI-USD,0.9999,423227.31998
2025-01-03 19:00:00,DAI-USD,0.9999,877988.79265
2025-01-02 19:00:00,DAI-USD,1,556117.24876
2025-01-01 19:00:00,DAI-USD,0.9999,1007219.5183
2024-12-31 19:00:00,DAI-USD,1,1196645.36659
2025-01-09 19:00:00,APT-USD,9.14,455365.953
2025-01-08 19:00:00,APT-USD,8.65,651163.173
2025-01-07 19:00:00,APT-USD,9.01,1110245.056
2025-01-06 19:00:00,APT-USD,9.66,1394770.664
2025-01-05 19:00:00,APT-USD,10.17,817370.043
2025-01-04 19:00:00,APT-USD,10.1,436367.844
2025-01-03 19:00:00,APT-USD,9.99,372330.856
2025-01-02 19:00:00,APT-USD,9.8,274145.803
2025-01-01 19:00:00,APT-USD,9.29,289833.289
2024-12-31 19:00:00,APT-USD,9.02,550221.918
2025-01-09 19:00:00,ONDO-USD,1.26787,16229031.58
2025-01-08 19:00:00,ONDO-USD,1.2075,14909846.02
2025-01-07 19:00:00,ONDO-USD,1.31378,21730305.29
2025-01-06 19:00:00,ONDO-USD,1.37074,13356419.94
2025-01-05 19:00:00,ONDO-USD,1.52443,13576058.31
2025-01-04 19:00:00,ONDO-USD,1.55138,6648659.87
2025-01-03 19:00:00,ONDO-USD,1.57783,12006145.83
2025-01-02 19:00:00,ONDO-USD,1.60635,12122022.59
2025-01-01 19:00:00,ONDO-USD,1.44437,16436867.66
2024-12-31 19:00:00,ONDO-USD,1.46,9975362.4
2025-01-09 19:00:00,AAVE-USD,285.82,64570.835
2025-01-08 19:00:00,AAVE-USD,281.14,84376.155
2025-01-07 19:00:00,AAVE-USD,293.31,77176.529
2025-01-06 19:00:00,AAVE-USD,306.86,43678.885
2025-01-05 19:00:00,AAVE-USD,341.65,34887.751
2025-01-04 19:00:00,AAVE-USD,341.61,25776.815
2025-01-03 19:00:00,AAVE-USD,351.61,34020.743
2025-01-02 19:00:00,AAVE-USD,350.56,67569.034
2025-01-01 19:00:00,AAVE-USD,333.38,58238.817
2024-12-31 19:00:00,AAVE-USD,319.2,41704.7
2025-01-09 19:00:00,NEAR-USDT,5.102,77363.129
2025-01-08 19:00:00,NEAR-USDT,5,79237.678
2025-01-07 19:00:00,NEAR-USDT,5.151,89642.939
2025-01-06 19:00:00,NEAR-USDT,5.36,111351.781
2025-01-05 19:00:00,NEAR-USDT,6.008,228211.09
2025-01-04 19:00:00,NEAR-USDT,5.911,33801.433
2025-01-03 19:00:00,NEAR-USDT,5.791,21964.878
2025-01-02 19:00:00,NEAR-USDT,5.821,61391.009
2025-01-01 19:00:00,NEAR-USDT,5.449,45542.965
2024-12-31 19:00:00,NEAR-USDT,5.334,56993.335
2025-01-09 19:00:00,ICP-USD,10.32,834971.7018
2025-01-08 19:00:00,ICP-USD,10.128,867638.911
2025-01-07 19:00:00,ICP-USD,10.852,957743.2593
2025-01-06 19:00:00,ICP-USD,11.037,892777.4536
2025-01-05 19:00:00,ICP-USD,12.186,972669.929
2025-01-04 19:00:00,ICP-USD,12.131,588994.5013
2025-01-03 19:00:00,ICP-USD,12.289,630609.5939
2025-01-02 19:00:00,ICP-USD,12.388,1169925.4239
2025-01-01 19:00:00,ICP-USD,10.683,415859.9799
2024-12-31 19:00:00,ICP-USD,10.489,532057.9454
2025-01-09 19:00:00,ETC-USD,25.66,106521.25720221
2025-01-08 19:00:00,ETC-USD,24.91,129684.40665315
2025-01-07 19:00:00,ETC-USD,25.25,308140.4638855
2025-01-06 19:00:00,ETC-USD,25.91,312805.55941774
2025-01-05 19:00:00,ETC-USD,28.69,117296.07273355
2025-01-04 19:00:00,ETC-USD,28.14,64994.67696532
2025-01-03 19:00:00,ETC-USD,28.36,112090.02431386
2025-01-02 19:00:00,ETC-USD,28.47,187570.38798552
2025-01-01 19:00:00,ETC-USD,26.89,199244.84459592
2024-12-31 19:00:00,ETC-USD,25.79,251605.23999064
2025-01-09 19:00:00,VET-USD,0.04522,116890177
2025-01-08 19:00:00,VET-USD,0.04447,95013990
2025-01-07 19:00:00,VET-USD,0.04494,138814571
2025-01-06 19:00:00,VET-USD,0.04681,130813152
2025-01-05 19:00:00,VET-USD,0.05272,101775659
2025-01-04 19:00:00,VET-USD,0.05099,59988221
2025-01-03 19:00:00,VET-USD,0.05094,78588835
2025-01-02 19:00:00,VET-USD,0.05267,125772796
2025-01-01 19:00:00,VET-USD,0.04828,99236323
2024-12-31 19:00:00,VET-USD,0.04658,121140212
2025-01-09 19:00:00,POL-USD,0.4576,4610159.12
2025-01-08 19:00:00,POL-USD,0.4492,5152866.64
2025-01-07 19:00:00,POL-USD,0.4641,6469697.82
2025-01-06 19:00:00,POL-USD,0.4695,5448643.69
2025-01-05 19:00:00,POL-USD,0.5249,8757705.52
2025-01-04 19:00:00,POL-USD,0.5165,2745496.91
2025-01-03 19:00:00,POL-USD,0.5234,3780913.03
2025-01-02 19:00:00,POL-USD,0.5191,7321025.91
2025-01-01 19:00:00,POL-USD,0.4844,5168802.02
2024-12-31 19:00:00,POL-USD,0.4724,5521002.45
2025-01-09 19:00:00,CRO-USD,0.1437,7828099.5
2025-01-08 19:00:00,CRO-USD,0.1386,16527273.4
2025-01-07 19:00:00,CRO-USD,0.1455,14550372.4
2025-01-06 19:00:00,CRO-USD,0.1493,17396226.4
2025-01-05 19:00:00,CRO-USD,0.1623,13209286.2
2025-01-04 19:00:00,CRO-USD,0.1601,9306566.3
2025-01-03 19:00:00,CRO-USD,0.1621,17397502.8
2025-01-02 19:00:00,CRO-USD,0.1602,17475575.9
2025-01-01 19:00:00,CRO-USD,0.1506,13151958.2
2024-12-31 19:00:00,CRO-USD,0.1508,17355615.6
2025-01-09 19:00:00,RENDER-USD,7.291,1367336.69
2025-01-08 19:00:00,RENDER-USD,7.035,1371718.75
2025-01-07 19:00:00,RENDER-USD,7.551,1308330.1
2025-01-06 19:00:00,RENDER-USD,8.095,1325343.03
2025-01-05 19:00:00,RENDER-USD,8.912,2046494.38
2025-01-04 19:00:00,RENDER-USD,8.279,944654.59
2025-01-03 19:00:00,RENDER-USD,8.076,867900
2025-01-02 19:00:00,RENDER-USD,8.088,813909.32
2025-01-01 19:00:00,RENDER-USD,7.648,861701.46
2024-12-31 19:00:00,RENDER-USD,7.16,753920.47
2025-01-09 19:00:00,ALGO-USD,0.3726,46818340.6
2025-01-08 19:00:00,ALGO-USD,0.3418,31477632.3
2025-01-07 19:00:00,ALGO-USD,0.3593,47673010
2025-01-06 19:00:00,ALGO-USD,0.3727,51603616.6
2025-01-05 19:00:00,ALGO-USD,0.415,38557649
2025-01-04 19:00:00,ALGO-USD,0.4048,25162891.3
2025-01-03 19:00:00,ALGO-USD,0.4101,30314060.8
2025-01-02 19:00:00,ALGO-USD,0.4188,48497426.1
2025-01-01 19:00:00,ALGO-USD,0.3922,35449680.1
2024-12-31 19:00:00,ALGO-USD,0.376,43044422.9
2025-01-09 19:00:00,FIL-USD,5.209,674341.193
2025-01-08 19:00:00,FIL-USD,5.054,1094652.445
2025-01-07 19:00:00,FIL-USD,5.107,1324292.182
2025-01-06 19:00:00,FIL-USD,5.351,1514521.534
2025-01-05 19:00:00,FIL-USD,5.987,2549370.384
2025-01-04 19:00:00,FIL-USD,5.92,867384.853
2025-01-03 19:00:00,FIL-USD,5.642,432220.256
2025-01-02 19:00:00,FIL-USD,5.663,1144790.915
2025-01-01 19:00:00,FIL-USD,5.303,595097.304
2024-12-31 19:00:00,FIL-USD,5.11,483275.455
2025-01-09 19:00:00,ARB-USD,0.7478,6146448.88
2025-01-08 19:00:00,ARB-USD,0.7435,7151836.58
2025-01-07 19:00:00,ARB-USD,0.7871,7124461.36
2025-01-06 19:00:00,ARB-USD,0.8205,6651359.26
2025-01-05 19:00:00,ARB-USD,0.919,24235578.58
2025-01-04 19:00:00,ARB-USD,0.917,15830048.39
2025-01-03 19:00:00,ARB-USD,0.8952,12699193.19
2025-01-02 19:00:00,ARB-USD,0.8343,4634519.28
2025-01-01 19:00:00,ARB-USD,0.7757,5712931.35
2024-12-31 19:00:00,ARB-USD,0.745,3399623.95
2025-01-09 19:00:00,OP-USD,1.791,1506680.84
2025-01-08 19:00:00,OP-USD,1.751,2679065.11
2025-01-07 19:00:00,OP-USD,1.804,3931156.18
2025-01-06 19:00:00,OP-USD,1.893,2360695.68
2025-01-05 19:00:00,OP-USD,2.112,1786101.22
2025-01-04 19:00:00,OP-USD,2.093,1340708.7
2025-01-03 19:00:00,OP-USD,2.062,1474887.98
2025-01-02 19:00:00,OP-USD,2.019,2529532.7
2025-01-01 19:00:00,OP-USD,1.878,1343370.81
2024-12-31 19:00:00,OP-USD,1.815,1184862.66
2025-01-09 19:00:00,ATOM-USD,6.65,420517.05
2025-01-08 19:00:00,ATOM-USD,6.399,593527.47
2025-01-07 19:00:00,ATOM-USD,6.453,537072.96
2025-01-06 19:00:00,ATOM-USD,6.772,637065.47
2025-01-05 19:00:00,ATOM-USD,7.445,555012.89
2025-01-04 19:00:00,ATOM-USD,7.342,251049.88
2025-01-03 19:00:00,ATOM-USD,7.293,338022.61
2025-01-02 19:00:00,ATOM-USD,7.422,616616.62
2025-01-01 19:00:00,ATOM-USD,6.703,367354.58
2024-12-31 19:00:00,ATOM-USD,6.531,428822.35
2025-01-09 19:00:00,FET-USD,1.3278,6515600.8
2025-01-08 19:00:00,FET-USD,1.2942,6910776.7
2025-01-07 19:00:00,FET-USD,1.3363,10073724.7
2025-01-06 19:00:00,FET-USD,1.4113,8714932.1
2025-01-05 19:00:00,FET-USD,1.5719,11650255.2
2025-01-04 19:00:00,FET-USD,1.6089,9049014.5
2025-01-03 19:00:00,FET-USD,1.4894,5116684.4
2025-01-02 19:00:00,FET-USD,1.4999,8912115.7
2025-01-01 19:00:00,FET-USD,1.3826,6242623.6
2024-12-31 19:00:00,FET-USD,1.3173,6536421.4
2025-01-09 19:00:00,TIA-USD,4.832,2836599.42
2025-01-08 19:00:00,TIA-USD,4.537,2284823.65
2025-01-07 19:00:00,TIA-USD,4.514,2821377.2
2025-01-06 19:00:00,TIA-USD,4.876,2310839.74
2025-01-05 19:00:00,TIA-USD,5.526,1604528.31
2025-01-04 19:00:00,TIA-USD,5.554,692604.9
2025-01-03 19:00:00,TIA-USD,5.562,1097760.27
2025-01-02 19:00:00,TIA-USD,5.497,1773117.45
2025-01-01 19:00:00,TIA-USD,5.063,1241133.61
2024-12-31 19:00:00,TIA-USD,4.853,1421978.86
2025-01-09 19:00:00,LDO-USD,1.624,1673838.74
2025-01-08 19:00:00,LDO-USD,1.59,1692641.82
2025-01-07 19:00:00,LDO-USD,1.649,2512787.76
2025-01-06 19:00:00,LDO-USD,1.769,2146743.21
2025-01-05 19:00:00,LDO-USD,2.018,1632657.45
2025-01-04 19:00:00,LDO-USD,2.089,1122408.93
2025-01-03 19:00:00,LDO-USD,2.059,1073809.78
2025-01-02 19:00:00,LDO-USD,2.008,1460107.01
2025-01-01 19:00:00,LDO-USD,1.881,1371991.48
2024-12-31 19:00:00,LDO-USD,1.803,1392642.89
2025-01-09 19:00:00,STX-USD,1.5365,1933600.73
2025-01-08 19:00:00,STX-USD,1.5016,2143317.29
2025-01-07 19:00:00,STX-USD,1.5406,2174860.3
2025-01-06 19:00:00,STX-USD,1.6006,2062371.19
2025-01-05 19:00:00,STX-USD,1.8276,2123668.71
2025-01-04 19:00:00,STX-USD,1.7607,2552442.81
2025-01-03 19:00:00,STX-USD,1.729,1993457.64
2025-01-02 19:00:00,STX-USD,1.7367,2860452.12
2025-01-01 19:00:00,STX-USD,1.6554,2568708.19
2024-12-31 19:00:00,STX-USD,1.608,3385398.23
2025-01-09 19:00:00,IMX-USD,1.256,1009765.21
2025-01-08 19:00:00,IMX-USD,1.2308,1338486.96
2025-01-07 19:00:00,IMX-USD,1.2673,1934023.78
2025-01-06 19:00:00,IMX-USD,1.3185,2264687.64
2025-01-05 19:00:00,IMX-USD,1.4793,1892621.69
2025-01-04 19:00:00,IMX-USD,1.4476,1463449.53
2025-01-03 19:00:00,IMX-USD,1.4647,2138262.19
2025-01-02 19:00:00,IMX-USD,1.472,2452596.99
2025-01-01 19:00:00,IMX-USD,1.367,2159804.21
2024-12-31 19:00:00,IMX-USD,1.3487,2595637.33
2025-01-09 19:00:00,GRT-USD,0.2057,35809260.66
2025-01-08 19:00:00,GRT-USD,0.2033,23730338.47
2025-01-07 19:00:00,GRT-USD,0.2118,24746711.17
2025-01-06 19:00:00,GRT-USD,0.2206,30562067.56
2025-01-05 19:00:00,GRT-USD,0.2483,19346807.05
2025-01-04 19:00:00,GRT-USD,0.243,14565703.63
2025-01-03 19:00:00,GRT-USD,0.2404,15738655.92
2025-01-02 19:00:00,GRT-USD,0.2417,34215277.21
2025-01-01 19:00:00,GRT-USD,0.2199,22906540.81
2024-12-31 19:00:00,GRT-USD,0.2081,36720892.52
2025-01-09 19:00:00,BONK-USD,2.765e-05,716916769777
2025-01-08 19:00:00,BONK-USD,2.72e-05,861453985522
2025-01-07 19:00:00,BONK-USD,2.884e-05,1149008494371
2025-01-06 19:00:00,BONK-USD,3.084e-05,883647804462
2025-01-05 19:00:00,BONK-USD,3.524e-05,1084844527897
2025-01-04 19:00:00,BONK-USD,3.439e-05,510845994658
2025-01-03 19:00:00,BONK-USD,3.563e-05,572776729814
2025-01-02 19:00:00,BONK-USD,3.606e-05,1110271895253
2025-01-01 19:00:00,BONK-USD,3.18e-05,971926667212
2024-12-31 19:00:00,BONK-USD,2.963e-05,1129087941229
2025-01-09 19:00:00,FLR-USD,0.02339,39452280
2025-01-08 19:00:00,FLR-USD,0.02284,69654342
2025-01-07 19:00:00,FLR-USD,0.02418,61405486
2025-01-06 19:00:00,FLR-USD,0.02505,74074608
